"STATION","NAME","DATE","TMAX"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-15","78"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-16","76"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-17","79"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-18","83"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-19","85"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-20","86"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-21","81"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-22","78"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-23","75"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-24","80"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-25","80"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-26","73"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-27","71"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-28","68"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-29","69"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-30","87"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-01","88"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-02","81"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-03","70"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-04","59"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-05","65"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-06","69"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-07","71"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-08","71"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-09","72"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-10","71"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-11","68"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-12","55"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-13","56"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-14","55"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-15","66"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-16","53"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-17","56"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-18","60"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-19","70"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-10-20","60"
